#Wavelength[um] Transit_Depth(Rp/Rstar)^2        
6.079646406487945187e-01 2.025696807979620109e-02
6.103964992113897203e-01 2.024614516693734600e-02
6.128380852082353503e-01 2.027957894244586390e-02
6.152894375490681744e-01 2.028805550609698999e-02
6.177505952992645710e-01 2.033678010140005724e-02
6.202215976804615893e-01 2.034247077358575240e-02
6.227024840711834486e-01 2.039874873781799200e-02
6.251932940074681477e-01 2.039837990370668708e-02
6.276940671834980723e-01 2.033625861071488086e-02
6.302048434522321552e-01 2.032227280156086516e-02
6.327256628260409244e-01 2.030970607365454803e-02
6.352565654773452142e-01 2.028005663595209077e-02
6.377975917392545435e-01 2.023448211985558881e-02
6.403487821062116003e-01 2.026306071779720303e-02
6.429101772346363930e-01 2.025400728016148524e-02
6.454818179435749537e-01 2.023241660119089527e-02
6.480637452153492628e-01 2.021423420596634574e-02
6.506560001962106154e-01 2.024136148525362833e-02
6.532586241969955410e-01 2.016492667104764769e-02
6.558716586937833881e-01 2.023757204123297071e-02
6.584951453285585732e-01 2.026357525566455792e-02
6.611291259098727169e-01 2.025213432688857673e-02
6.637736424135122215e-01 2.026403474994629278e-02
6.664287369831662922e-01 2.028414223774960279e-02
6.690944519310989547e-01 2.029968627609870027e-02
6.717708297388232941e-01 2.030951521420290215e-02
6.744579130577786907e-01 2.030651163543268148e-02
6.771557447100098326e-01 2.027707020761093312e-02
6.798643676888498355e-01 2.028563061419106500e-02
6.825838251596052508e-01 2.026176482101395629e-02
6.853141604602436265e-01 2.027629894960648535e-02
6.880554171020846210e-01 2.024866750973777080e-02
6.908076387704928933e-01 2.022296681327621221e-02
6.935708693255748791e-01 2.021313245689553006e-02
6.963451528028771209e-01 2.017237530817761471e-02
6.991305334140887062e-01 2.016263911052123756e-02
7.019270555477450380e-01 2.014622947582575194e-02
7.047347637699360456e-01 2.013638442770870202e-02
7.075537028250157290e-01 2.017323886399096169e-02
7.103839176363159202e-01 2.021888483743791015e-02
7.132254533068611568e-01 2.025187394070451091e-02
7.160783551200886610e-01 2.025007615541734446e-02
7.189426685405689854e-01 2.023710457279780800e-02
7.218184392147313222e-01 2.024720668899252646e-02
7.247057129715901436e-01 2.020802639889811986e-02
7.276045358234763949e-01 2.017696621504750862e-02
7.305149539667704639e-01 2.015374843491592530e-02
