#Wavelength[um] Fp[W/m2/m] Fp/Fstar[ppm] Fstar[W/m2/m]
2.020103337063813842e-01 3.860134928342463970e+08 9.341030255895223178e+00 8.212189616987655029e+11
2.028183750412069219e-01 4.171626865224874616e+08 1.044842264926676734e+01 7.934251920181728516e+11
2.036296485413717494e-01 4.203187250334604383e+08 8.681340646296524355e+00 9.621509260831604004e+11
2.044441671355372303e-01 4.353780185733720064e+08 7.181122767179362931e+00 1.204828990788682861e+12
2.052619438040793887e-01 4.587756381885707378e+08 8.179816022035463874e+00 1.114571860292682861e+12
2.060829915792957157e-01 5.132783438690019846e+08 9.610658925874538738e+00 1.061331460832780640e+12
2.069073235456129201e-01 5.300989037809494138e+08 4.605878638912132672e+00 2.287155420887903320e+12
2.077349528397953449e-01 5.708253602438390255e+08 3.725588558632130898e+00 3.044806023717463379e+12
2.085658926511545219e-01 6.515670547498270273e+08 4.823262291292454762e+00 2.684537649460433594e+12
2.094001562217591150e-01 6.969324954630302191e+08 3.902284716532764097e+00 3.549139122089638184e+12
2.102377568466461677e-01 7.853173393215036392e+08 4.037162480845130297e+00 3.865629438134856934e+12
2.110787078740327671e-01 8.139701204272934198e+08 3.928548726415742820e+00 4.117442857610541016e+12
2.119230227055288740e-01 8.471862545275696516e+08 3.321853530109536212e+00 5.068152607061333008e+12
2.127707147963510126e-01 8.984511094024147987e+08 6.318079565083952076e+00 2.825924927969882324e+12
2.136217976555363773e-01 9.672213066524295807e+08 5.092135681754654364e+00 3.774654010066823730e+12
2.144762848461585492e-01 1.017993695916172266e+09 4.815046644662134945e+00 4.201417614407441895e+12
2.153341899855431840e-01 1.078035973044254065e+09 4.951470211081767658e+00 4.326635849346976074e+12
2.161955267454853669e-01 1.224095975177829504e+09 6.956135646725752686e+00 3.497024617924465332e+12
2.170603088524672986e-01 1.259248407203178167e+09 8.705018680933035213e+00 2.874702883969471191e+12
2.179285500878772042e-01 1.307214113974339008e+09 5.447595815539965081e+00 4.768624355539862305e+12
2.188002642882286852e-01 1.423766575451155186e+09 5.854860965226652780e+00 4.832517870321286133e+12
2.196754653453815986e-01 1.492257139371706486e+09 5.029693933703270226e+00 5.895944259677090820e+12
