#Wavelength[um] Transit_Depth(Rp/Rstar)^2        
3.603810475682617254e-01 2.027274413588239094e-02
3.618225717585348278e-01 2.038051328300901494e-02
3.632698620455689364e-01 2.038923787954599262e-02
3.647229414937512293e-01 2.041011246113945410e-02
3.661818332597261971e-01 1.995450645925912064e-02
3.676465605927651259e-01 2.023609604921192129e-02
3.691171468351361895e-01 2.019568929027599352e-02
3.705936154224767076e-01 2.039393410273639823e-02
3.720759898841666247e-01 2.069205680750265536e-02
3.735642938437032656e-01 2.086055121153299746e-02
3.750585510190780902e-01 2.088645237099184815e-02
3.765587852231543908e-01 2.047714172926488885e-02
3.780650203640470441e-01 1.999650118620996744e-02
3.795772804455032068e-01 2.028888682584803829e-02
3.810955895672852312e-01 2.017674508902972744e-02
3.826199719255543585e-01 2.094462414470677630e-02
3.841504518132565771e-01 2.039965375944694653e-02
3.856870536205096456e-01 2.048705645281771390e-02
3.872298018349916715e-01 2.038989915173165801e-02
3.887787210423316320e-01 2.028662914833174666e-02
3.903338359265008939e-01 2.032337343340871738e-02
3.918951712702069545e-01 2.031327660273159197e-02
3.934627519552877928e-01 2.158502584525516174e-02
3.950366029631089404e-01 2.013433273965114373e-02
3.966167493749613859e-01 2.111429329164970711e-02
3.982032163724612550e-01 2.000318061530398026e-02
3.997960292379510450e-01 1.989497676826877323e-02
4.013952133549028578e-01 1.991810699874646193e-02
4.030007942083224659e-01 1.981427158184105933e-02
4.046127973851557647e-01 1.995013688479847780e-02
4.062312485746963908e-01 2.004567948304637054e-02
4.078561735689951728e-01 2.000758514761844659e-02
4.094875982632711353e-01 1.993398300342407933e-02
4.111255486563242245e-01 1.987251200500829082e-02
4.127700508509495880e-01 1.998005341608722479e-02
4.144211310543532978e-01 2.003781096192110145e-02
4.160788155785707931e-01 1.994304417326179385e-02
4.177431308408850463e-01 2.009131422305071232e-02
4.194141033642486138e-01 2.014854658769662035e-02
4.210917597777056320e-01 2.015373196737506312e-02
4.227761268168164221e-01 2.063019414633624621e-02
4.244672313240837602e-01 2.020076906572118580e-02
4.261651002493800910e-01 2.011716360141792975e-02
4.278697606503775730e-01 2.019739560901370398e-02
4.295812396929790666e-01 2.031775022453320007e-02
4.312995646517510107e-01 2.020720453449690798e-02
4.330247629103580187e-01 2.010667575946429447e-02
4.347568619619994745e-01 2.003562884967811930e-02
4.364958894098474596e-01 2.005155065265929945e-02
4.382418729674867897e-01 2.012987980975011748e-02
4.399948404593567730e-01 2.016276748902597407e-02
4.417548198211941890e-01 2.007971521689957614e-02
4.435218391004789873e-01 2.021223295005175613e-02
4.452959264568808750e-01 2.020324501129596578e-02
4.470771101627084021e-01 2.015067012040985470e-02
4.488654186033592119e-01 2.015342111400757197e-02
4.506608802777726241e-01 2.004971166697575372e-02
4.524635237988837710e-01 2.015890240474504935e-02
4.542733778940792333e-01 2.016143999945730833e-02
4.560904714056555065e-01 2.008728435526569572e-02
4.579148332912781894e-01 2.007445516319001852e-02
4.597464926244433370e-01 2.014009392438336626e-02
4.615854785949410899e-01 2.007045062745512615e-02
4.634318205093208576e-01 2.015084920163262572e-02
4.652855477913582227e-01 2.010792298642352649e-02
4.671466899825236219e-01 2.010853601740452551e-02
4.690152767424536906e-01 2.011953464438177852e-02
4.708913378494234969e-01 2.004895435787538288e-02
4.727749032008212171e-01 2.008364147466260019e-02
4.746660028136244769e-01 2.003981451086659857e-02
4.765646668248789131e-01 2.013516660262518881e-02
4.784709254921784560e-01 2.010544503307871642e-02
4.803848091941470555e-01 2.008962563345119065e-02
4.823063484309236815e-01 2.007343828800760288e-02
4.842355738246474361e-01 2.007116243930908220e-02
4.861725161199459966e-01 2.011244167722827866e-02
4.881172061844257226e-01 2.009475784750391902e-02
4.900696750091634302e-01 2.007122917308246449e-02
4.920299537092001074e-01 2.005466901224013318e-02
4.939980735240369625e-01 2.001127378468724183e-02
4.959740658181330253e-01 2.013232522057967211e-02
4.979579620814056362e-01 2.011092777636858814e-02
4.999497939297311566e-01 2.016807503417484757e-02
5.019495931054501758e-01 2.022779513936914103e-02
5.039573914778719965e-01 2.016002049605889954e-02
5.059732210437835054e-01 2.017002052853762023e-02
5.079971139279585435e-01 2.011164340481117613e-02
5.100291023836703852e-01 2.014300814328224068e-02
5.120692187932051054e-01 2.012684140152865009e-02
5.141174956683780550e-01 2.018699660729790513e-02
5.161739656510514473e-01 2.027215518802285080e-02
5.182386615136556074e-01 2.032900892907441026e-02
5.203116161597103329e-01 2.023827878670620209e-02
5.223928626243490303e-01 2.020706009664494790e-02
5.244824340748465152e-01 2.017573461018003569e-02
5.265803638111459239e-01 2.021922785819000451e-02
5.286866852663905103e-01 2.012677443266608357e-02
5.308014320074561088e-01 2.010089746922668827e-02
5.329246377354859288e-01 2.018293161415191800e-02
5.350563362864277916e-01 2.011943875137184659e-02
5.371965616315735881e-01 2.017382525303542534e-02
5.393453478780998456e-01 2.019374167793195132e-02
5.415027292696121819e-01 2.016446415534368930e-02
5.436687401866906466e-01 2.022023577887628251e-02
5.458434151474373941e-01 2.021065954720516200e-02
5.480267888080271321e-01 2.018220981825427640e-02
5.502188959632591247e-01 2.021778806774247872e-02
5.524197715471121928e-01 2.016904334743913063e-02
5.546294506333006025e-01 2.013530974310208735e-02
5.568479684358338400e-01 2.017558774153666717e-02
5.590753603095770519e-01 2.021290688221469983e-02
5.613116617508153716e-01 2.021141620632235097e-02
5.635569083978186899e-01 2.020467892286981898e-02
5.658111360314097560e-01 2.020367157673668215e-02
5.680743805755354980e-01 2.018969941039287785e-02
5.703466780978375672e-01 2.019469094176418178e-02
5.726280648102289872e-01 2.017266587274875456e-02
5.749185770694699160e-01 2.016693404761538133e-02
5.772182513777477375e-01 2.017317451658939484e-02
5.795271243832587071e-01 2.015385686145714991e-02
5.818452328807918184e-01 2.016075273685122987e-02
5.841726138123150003e-01 2.016012822047290320e-02
5.865093042675643131e-01 2.020862312188687407e-02
5.888553414846344758e-01 2.024176805226381506e-02
5.912107628505729462e-01 2.024622845217024028e-02
5.935756059019753339e-01 2.023132208311434130e-02
5.959499083255832552e-01 2.023790406747411064e-02
5.983337079588855190e-01 2.021637562488273754e-02
6.007270427907210886e-01 2.021192771902779323e-02
6.031299509618840426e-01 2.018821013713487794e-02
6.055424707657315331e-01 2.019007484717278561e-02
6.079646406487945187e-01 2.016344320490832953e-02
6.103964992113897203e-01 2.015404720201584982e-02
6.128380852082353503e-01 2.018058491826359158e-02
6.152894375490681744e-01 2.018384548734263734e-02
6.177505952992645710e-01 2.023222105786482566e-02
6.202215976804615893e-01 2.024321089557532677e-02
6.227024840711834486e-01 2.028915888304728271e-02
6.251932940074681477e-01 2.028581949194715670e-02
6.276940671834980723e-01 2.023395667519880398e-02
6.302048434522321552e-01 2.021704452700324312e-02
6.327256628260409244e-01 2.020172723767677675e-02
6.352565654773452142e-01 2.017625242196443430e-02
6.377975917392545435e-01 2.014193101329786462e-02
6.403487821062116003e-01 2.015938513878104757e-02
6.429101772346363930e-01 2.015467404180923405e-02
6.454818179435749537e-01 2.012935773285053770e-02
6.480637452153492628e-01 2.011407382953158199e-02
6.506560001962106154e-01 2.013167457383312209e-02
6.532586241969955410e-01 2.007097968113164335e-02
6.558716586937833881e-01 2.014019140412211251e-02
6.584951453285585732e-01 2.016202307352050679e-02
6.611291259098727169e-01 2.015876911458581305e-02
6.637736424135122215e-01 2.017006138338966678e-02
6.664287369831662922e-01 2.018718536192216917e-02
6.690944519310989547e-01 2.020324555314965617e-02
6.717708297388232941e-01 2.020946299044071998e-02
6.744579130577786907e-01 2.020764041074250145e-02
6.771557447100098326e-01 2.018223238254898341e-02
6.798643676888498355e-01 2.018780700117520088e-02
6.825838251596052508e-01 2.016633302931366417e-02
6.853141604602436265e-01 2.016896834695653534e-02
6.880554171020846210e-01 2.014771818520764979e-02
6.908076387704928933e-01 2.011951231542746799e-02
6.935708693255748791e-01 2.011159115102087447e-02
6.963451528028771209e-01 2.006985611970932629e-02
6.991305334140887062e-01 2.005675997593243248e-02
7.019270555477450380e-01 2.004193394018821336e-02
7.047347637699360456e-01 2.003710783841112369e-02
7.075537028250157290e-01 2.008175706943206643e-02
7.103839176363159202e-01 2.011955809378178708e-02
7.132254533068611568e-01 2.015569276458150511e-02
7.160783551200886610e-01 2.015041235149633500e-02
7.189426685405689854e-01 2.013332317634249427e-02
7.218184392147313222e-01 2.014514646960714403e-02
7.247057129715901436e-01 2.010636038510840717e-02
7.276045358234763949e-01 2.007911035650185305e-02
7.305149539667704639e-01 2.004830415847616912e-02
7.334370137826373703e-01 2.002816424717165575e-02
7.363707618377679509e-01 2.000019620983450180e-02
7.393162448851190449e-01 1.997508534908995145e-02
7.422735098646596752e-01 1.995481619987769448e-02
7.452426039041182282e-01 1.995332519071626662e-02
7.482235743197346300e-01 1.992962495990616145e-02
7.512164686170136330e-01 1.992419172497219768e-02
7.542213344914817652e-01 1.989835353924464603e-02
7.572382198294477229e-01 1.990997507396065694e-02
7.602671727087656484e-01 1.994367886724281516e-02
7.633082413996006288e-01 1.997019709788062924e-02
7.663614743651989691e-01 2.002421633637476578e-02
7.694269202626597970e-01 2.002777090625456127e-02
7.725046279437104424e-01 2.003300953107290186e-02
7.755946464554852593e-01 2.004616738314890512e-02
7.786970250413072225e-01 2.004306495914605357e-02
7.818118131414724115e-01 2.002203789121604835e-02
7.849390603940383793e-01 2.006150022815115369e-02
7.880788166356144098e-01 2.003678245190922483e-02
7.912311319021569922e-01 2.006918494349591020e-02
7.943960564297655180e-01 2.005310368696928969e-02
